index,benchmark_id,dao,proposal_id,status,old_decoded_call_count,new_decoded_call_count,old_unknown_risk_actions,new_unknown_risk_actions,old_risk_action_count,new_risk_action_count,overall_score,risk_level,abi_fetch_targets,abi_fetch_changed_targets,error,elapsed_seconds
56,real-compound-0016,Compound,451,success,10,10,0,0,2,2,8,LOW,,,,0.003
57,real-compound-0017,Compound,466,success,18,18,0,0,2,2,8,LOW,,,,0.004
58,real-compound-0018,Compound,442,success,77,81,2,0,34,32,2,CRITICAL,,,,0.015
59,real-compound-0019,Compound,545,success,32,32,0,0,5,5,4,HIGH,,,,0.019
60,real-compound-0020,Compound,506,success,9,11,1,0,6,5,8,LOW,,,,0.005
61,real-ens-0001,ENS,55447465396737793905646186593156244424717001140618132725073945884287085787959,success,12,12,0,0,11,11,4,HIGH,,,,0.006
62,real-ens-0002,ENS,43203199770691383238593940280239053946984014979449022275641313046078578194694,success,1,1,0,0,0,0,8,LOW,,,,0.002
63,real-ens-0003,ENS,90476529665364161211265365238121921179703522228680648046371476645353679539653,success,1,1,0,0,1,1,4,HIGH,,,,0.001
64,real-ens-0004,ENS,112764562576314516994943312429834673309292069549953740415731020720942627228986,success,2,2,0,0,2,2,8,LOW,,,,0.001
65,real-ens-0005,ENS,27850654116740852236526757351596115114486670304472932313768517382407193376455,success,5,5,0,0,2,2,8,LOW,,,,0.004
66,real-ens-0006,ENS,8759198094868535520038506706231539487662297008587733129541987545743856603253,success,1,1,0,0,1,1,8,LOW,,,,0.002
67,real-ens-0007,ENS,33504840096777976512510989921427323867039135570342563123194157971712476988820,success,2,2,0,0,2,2,8,LOW,,,,0.001
68,real-ens-0008,ENS,31309365093913580207991288430108338667724061355449265288906484597789511363394,success,3,3,0,0,3,3,8,LOW,,,,0.002
69,real-ens-0009,ENS,33657496545373741813637578444724485346468737982573562831880427564621945332995,success,2,2,0,0,2,2,8,LOW,,,,0.002
70,real-ens-0010,ENS,40272043175867710511047990376059633000673751036364092383567949469124429500507,success,2,2,0,0,0,0,8,LOW,,,,0.002
71,real-ens-0011,ENS,107992041043258996427224563090014372885335179099580585497266204203463156791290,success,4,4,0,0,3,3,6,MEDIUM,,,,0.002
72,real-ens-0012,ENS,13214174724111749338017943143826453367599509196993220699255450633508989705578,success,85,87,1,0,33,32,2,CRITICAL,,,,0.043
73,real-ens-0013,ENS,20404686300257550242704646761273386459664655640264490428281621095220078268383,success,15,15,0,0,8,8,2,CRITICAL,,,,0.006
74,real-ens-0014,ENS,31038548146097859834078018568437840147798885401616129864120868194533406456350,success,7,7,0,0,0,0,9,LOW,,,,0.002
75,real-ens-0015,ENS,108835189906614532703236602621229289879643217303874617456878894788222576090451,success,13,13,0,0,1,1,8,LOW,,,,0.004
76,real-ens-0016,ENS,28252712932062322633429808688780331957150867173093906455161078029287649387260,success,13,13,0,0,0,0,8,LOW,,,,0.004
77,real-ens-0017,ENS,48262157524430528705514027771464261215955420389394621161356313649894506972547,success,1,1,0,0,0,0,8,LOW,,,,0.001
78,real-ens-0018,ENS,69304512515872868228453463730257567312488838925636819022683533220991373699419,success,5,5,0,0,0,0,9,LOW,,,,0.003
79,real-ens-0019,ENS,43003012871521685709452092060115706577030630127946926655190871046443785691900,success,22,22,0,0,0,0,9,LOW,,,,0.006
80,real-ens-0020,ENS,93339540979084434403669350155813124666788975924280943502320960019054315770244,success,1,1,0,0,0,0,8,LOW,,,,0.001
81,real-nouns-dao-0001,Nouns DAO,215,success,0,0,0,0,2,2,8,LOW,,,,0.001
82,real-nouns-dao-0002,Nouns DAO,152,success,1,3,1,0,5,4,8,LOW,,,,0.003
83,real-nouns-dao-0003,Nouns DAO,57,success,0,0,0,0,1,1,8,LOW,,,,0.001
84,real-nouns-dao-0004,Nouns DAO,173,success,0,0,0,0,2,2,8,LOW,,,,0.001
85,real-nouns-dao-0005,Nouns DAO,189,success,0,0,0,0,2,2,8,LOW,,,,0.001
86,real-nouns-dao-0006,Nouns DAO,223,success,0,0,0,0,2,2,8,LOW,,,,0.001
87,real-nouns-dao-0007,Nouns DAO,435,success,4,4,0,0,3,3,8,LOW,,,,0.003
88,real-nouns-dao-0008,Nouns DAO,332,success,2,4,1,0,4,3,8,LOW,,,,0.003
89,real-nouns-dao-0009,Nouns DAO,585,success,2,2,0,0,1,1,8,LOW,,,,0.002
90,real-nouns-dao-0010,Nouns DAO,412,success,3,3,0,0,4,4,2,CRITICAL,,,,0.001
91,real-nouns-dao-0011,Nouns DAO,554,success,9,9,0,0,6,6,3,HIGH,,,,0.004
92,real-nouns-dao-0012,Nouns DAO,455,success,5,5,0,0,4,4,8,LOW,,,,0.003
93,real-nouns-dao-0013,Nouns DAO,763,success,5,5,0,0,3,3,8,LOW,,,,0.003
94,real-nouns-dao-0014,Nouns DAO,711,success,9,9,0,0,3,3,3,HIGH,,,,0.002
95,real-nouns-dao-0015,Nouns DAO,676,success,0,0,0,0,1,1,4,HIGH,,,,0.001
96,real-nouns-dao-0016,Nouns DAO,795,success,14,14,0,0,5,5,3,HIGH,,,,0.005
97,real-nouns-dao-0017,Nouns DAO,743,success,3,3,0,0,1,1,6,MEDIUM,,,,0.002
98,real-nouns-dao-0018,Nouns DAO,773,success,0,0,0,0,1,1,4,HIGH,,,,0.001
99,real-nouns-dao-0019,Nouns DAO,823,success,5,5,0,0,3,3,8,LOW,,,,0.003
100,real-nouns-dao-0020,Nouns DAO,903,success,5,5,0,0,3,3,4,HIGH,,,,0.003
101,real-uniswap-0001,Uniswap,14,success,2,2,0,0,1,1,8,LOW,,,,0.001
102,real-uniswap-0002,Uniswap,31,success,2,2,0,0,0,0,6,MEDIUM,,,,0.001
103,real-uniswap-0003,Uniswap,34,success,0,0,0,0,0,0,8,LOW,,,,0.001
104,real-uniswap-0004,Uniswap,22,success,1,1,0,0,1,1,8,LOW,,,,0.001
105,real-uniswap-0005,Uniswap,26,success,0,0,0,0,1,1,6,MEDIUM,,,,0.001
106,real-uniswap-0006,Uniswap,27,success,0,0,0,0,1,1,6,MEDIUM,,,,0.001
107,real-uniswap-0007,Uniswap,50,success,2,2,0,0,0,0,8,LOW,,,,0.001
108,real-uniswap-0008,Uniswap,65,success,1,1,0,0,1,1,8,LOW,,,,0.001
109,real-uniswap-0009,Uniswap,47,success,4,4,0,0,4,4,8,LOW,,,,0.002
110,real-uniswap-0010,Uniswap,42,success,2,2,0,0,0,0,4,HIGH,,,,0.002
111,real-uniswap-0011,Uniswap,55,success,2,2,0,0,1,1,8,LOW,,,,0.002
112,real-uniswap-0012,Uniswap,53,success,9,9,0,0,2,2,4,HIGH,,,,0.004
113,real-uniswap-0013,Uniswap,70,success,1,1,0,0,1,1,8,LOW,,,,0.001
114,real-uniswap-0014,Uniswap,86,success,1,1,0,0,1,1,8,LOW,,,,0.002
115,real-uniswap-0015,Uniswap,80,success,1,1,0,0,1,1,8,LOW,,,,0.001
116,real-uniswap-0016,Uniswap,68,success,1,1,0,0,1,1,8,LOW,,,,0.001
117,real-uniswap-0017,Uniswap,78,success,2,2,0,0,0,0,4,HIGH,,,,0.001
118,real-uniswap-0018,Uniswap,94,success,47,55,2,0,20,18,2,CRITICAL,,,,0.015
119,real-uniswap-0019,Uniswap,71,success,1,1,0,0,1,1,8,LOW,,,,0.001
120,real-uniswap-0020,Uniswap,75,success,1,1,0,0,1,1,8,LOW,,,,0.001
