index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
23,real-arbitrum-0003,data\raw_samples\real-arbitrum-0003.json,4339452689891418965907083940091891085726910948106830138993485564953310970308,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,15.25,outputs\traces\real-arbitrum-0003-trace.json,outputs\risk_actions\real-arbitrum-0003-risk-actions.json
24,real-arbitrum-0004,data\raw_samples\real-arbitrum-0004.json,77069694702187027448745871790562515795432836429094222862498991082283032976814,Arbitrum,42161,reverted_with_trace,simulated_trace,1,0,0,0,0,0,0,,,13.527,outputs\traces\real-arbitrum-0004-trace.json,outputs\risk_actions\real-arbitrum-0004-risk-actions.json
25,real-arbitrum-0005,data\raw_samples\real-arbitrum-0005.json,55434268037459750836497365958054185343730937462615166912204494229415053613423,Arbitrum,42161,reverted_with_trace,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,7.93,outputs\traces\real-arbitrum-0005-trace.json,outputs\risk_actions\real-arbitrum-0005-risk-actions.json
26,real-arbitrum-0006,data\raw_samples\real-arbitrum-0006.json,6269372711941757139042689495856382466058496535755800373140231592090274906424,Arbitrum,42161,reverted_with_trace,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,8.239,outputs\traces\real-arbitrum-0006-trace.json,outputs\risk_actions\real-arbitrum-0006-risk-actions.json
27,real-arbitrum-0007,data\raw_samples\real-arbitrum-0007.json,38701323908152171422214887490453506732497504710759730413296983575898180294585,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,21.953,outputs\traces\real-arbitrum-0007-trace.json,outputs\risk_actions\real-arbitrum-0007-risk-actions.json
28,real-arbitrum-0008,data\raw_samples\real-arbitrum-0008.json,98446466630612736687159241204141593794174501692677162686607521796118942563659,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,15.301,outputs\traces\real-arbitrum-0008-trace.json,outputs\risk_actions\real-arbitrum-0008-risk-actions.json
29,real-arbitrum-0009,data\raw_samples\real-arbitrum-0009.json,7516302970844612385418101444853135774524286064427379173725195909617827683975,Arbitrum,42161,success,simulated_trace,96,3,48,4,96,0,92,delegatecall:2;transfer:1;unknown:1,,51.918,outputs\traces\real-arbitrum-0009-trace.json,outputs\risk_actions\real-arbitrum-0009-risk-actions.json
30,real-arbitrum-0010,data\raw_samples\real-arbitrum-0010.json,79529399410531589353911088395953830829384332193617716676855043534419270111970,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,25.302,outputs\traces\real-arbitrum-0010-trace.json,outputs\risk_actions\real-arbitrum-0010-risk-actions.json
31,real-arbitrum-0011,data\raw_samples\real-arbitrum-0011.json,3552942192106351362095426680857341385146921274641698065112264407057470303359,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,13.442,outputs\traces\real-arbitrum-0011-trace.json,outputs\risk_actions\real-arbitrum-0011-risk-actions.json
32,real-arbitrum-0012,data\raw_samples\real-arbitrum-0012.json,112325874093084064493910714319140234408317576120604499542718372361020687891105,Arbitrum,42161,reverted_with_trace,simulated_trace,1,0,0,0,0,0,0,,,7.494,outputs\traces\real-arbitrum-0012-trace.json,outputs\risk_actions\real-arbitrum-0012-risk-actions.json
33,real-arbitrum-0013,data\raw_samples\real-arbitrum-0013.json,108658450973990931334575713480652794742647878863726354508911679874665321261959,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,16.526,outputs\traces\real-arbitrum-0013-trace.json,outputs\risk_actions\real-arbitrum-0013-risk-actions.json
34,real-arbitrum-0014,data\raw_samples\real-arbitrum-0014.json,111105159609719390908725919603971316574753860587890014819515615630412225940809,Arbitrum,42161,success,simulated_trace,6,3,3,6,6,0,0,delegatecall:3;transfer:2;unknown:1,,18.329,outputs\traces\real-arbitrum-0014-trace.json,outputs\risk_actions\real-arbitrum-0014-risk-actions.json
35,real-arbitrum-0015,data\raw_samples\real-arbitrum-0015.json,71020107401388505040510993373598301285550678565865201408741893567942851985019,Arbitrum,42161,reverted_with_trace,simulated_trace,1,0,0,0,0,0,0,,,8.226,outputs\traces\real-arbitrum-0015-trace.json,outputs\risk_actions\real-arbitrum-0015-risk-actions.json
36,real-arbitrum-0016,data\raw_samples\real-arbitrum-0016.json,13050485773425645466153415888358064378805606653363056526521393182333458879398,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,32.973,outputs\traces\real-arbitrum-0016-trace.json,outputs\risk_actions\real-arbitrum-0016-risk-actions.json
37,real-arbitrum-0017,data\raw_samples\real-arbitrum-0017.json,13108804573775967668959825241666341617107666532012387058509418598838035461528,Arbitrum,42161,reverted_with_trace,simulated_trace,1,0,0,0,0,0,0,,,8.5,outputs\traces\real-arbitrum-0017-trace.json,outputs\risk_actions\real-arbitrum-0017-risk-actions.json
38,real-arbitrum-0018,data\raw_samples\real-arbitrum-0018.json,27831845498978337986467036886891836384283300266814708262424272663046958396151,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,14.445,outputs\traces\real-arbitrum-0018-trace.json,outputs\risk_actions\real-arbitrum-0018-risk-actions.json
39,real-arbitrum-0019,data\raw_samples\real-arbitrum-0019.json,16288348195459185256236376597446433097934740027053618232242382845767010422421,Arbitrum,42161,reverted_with_trace,simulated_trace,1,0,0,1,1,0,0,transfer:1,,8.406,outputs\traces\real-arbitrum-0019-trace.json,outputs\risk_actions\real-arbitrum-0019-risk-actions.json
40,real-arbitrum-0020,data\raw_samples\real-arbitrum-0020.json,41764616447638715300612914863093416410063619332654034338488569044333128121381,Arbitrum,42161,success,simulated_trace,4,3,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,17.487,outputs\traces\real-arbitrum-0020-trace.json,outputs\risk_actions\real-arbitrum-0020-risk-actions.json
41,real-compound-0001,data\raw_samples\real-compound-0001.json,51,Compound,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,12.233,outputs\traces\real-compound-0001-trace.json,outputs\risk_actions\real-compound-0001-risk-actions.json
