index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
22,real-nouns-dao-0008,data\raw_samples\real-nouns-dao-0008.json,332,Nouns DAO,1,success,simulated_trace,4,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,10.399,outputs\traces\real-nouns-dao-0008-trace.json,outputs\risk_actions\real-nouns-dao-0008-risk-actions.json
23,real-nouns-dao-0009,data\raw_samples\real-nouns-dao-0009.json,585,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,11.451,outputs\traces\real-nouns-dao-0009-trace.json,outputs\risk_actions\real-nouns-dao-0009-risk-actions.json
24,real-nouns-dao-0012,data\raw_samples\real-nouns-dao-0012.json,455,Nouns DAO,1,success,simulated_trace,6,2,2,5,5,0,0,delegatecall:2;transfer:2;unknown:1,,9.128,outputs\traces\real-nouns-dao-0012-trace.json,outputs\risk_actions\real-nouns-dao-0012-risk-actions.json
25,real-nouns-dao-0013,data\raw_samples\real-nouns-dao-0013.json,763,Nouns DAO,1,success,simulated_trace,5,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,16.068,outputs\traces\real-nouns-dao-0013-trace.json,outputs\risk_actions\real-nouns-dao-0013-risk-actions.json
26,real-nouns-dao-0015,data\raw_samples\real-nouns-dao-0015.json,676,Nouns DAO,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.737,outputs\traces\real-nouns-dao-0015-trace.json,outputs\risk_actions\real-nouns-dao-0015-risk-actions.json
27,real-nouns-dao-0016,data\raw_samples\real-nouns-dao-0016.json,795,Nouns DAO,1,success,simulated_trace,15,2,5,7,11,0,4,delegatecall:3;transfer:1;unknown:3,,16.803,outputs\traces\real-nouns-dao-0016-trace.json,outputs\risk_actions\real-nouns-dao-0016-risk-actions.json
28,real-nouns-dao-0017,data\raw_samples\real-nouns-dao-0017.json,743,Nouns DAO,1,success,simulated_trace,3,2,1,2,2,0,0,delegatecall:1;unknown:1,,6.008,outputs\traces\real-nouns-dao-0017-trace.json,outputs\risk_actions\real-nouns-dao-0017-risk-actions.json
29,real-nouns-dao-0018,data\raw_samples\real-nouns-dao-0018.json,773,Nouns DAO,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.427,outputs\traces\real-nouns-dao-0018-trace.json,outputs\risk_actions\real-nouns-dao-0018-risk-actions.json
30,real-nouns-dao-0019,data\raw_samples\real-nouns-dao-0019.json,823,Nouns DAO,1,success,simulated_trace,5,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,8.691,outputs\traces\real-nouns-dao-0019-trace.json,outputs\risk_actions\real-nouns-dao-0019-risk-actions.json
31,real-nouns-dao-0020,data\raw_samples\real-nouns-dao-0020.json,903,Nouns DAO,1,success,simulated_trace,5,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,8.646,outputs\traces\real-nouns-dao-0020-trace.json,outputs\risk_actions\real-nouns-dao-0020-risk-actions.json
